"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"spatial_pd_demographic.nlogo"
"experiment"
"06/07/2024 08:46:32:123 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","agent-maxage","pd-r","histogram-granularity","pd-s","agent-procreation-min-wealth","agent-init-coop-ratio","simulation-steps","pd-t","agent-number","agent-init-random-birth-age","patch-background-color","neighborhood","mutation-rate","agent-init-endowment","pd-p","[step]","count turtles","count cooperators","count defectors"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1742","1351","391"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1447","1129","318"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1942","1509","433"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2062","1612","450"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1693","1339","354"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1755","1360","395"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1462","1085","377"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1773","1393","380"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1736","1334","402"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1808","1434","374"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2023","1629","394"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2020","1585","435"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2166","1719","447"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2050","1586","464"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1853","1448","405"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1849","1431","418"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","2002","1546","456"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2017","1630","387"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2027","1555","472"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1741","1314","427"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","2087","1609","478"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2121","1645","476"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2135","1645","490"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","1965","1523","442"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1958","1529","429"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","2194","1706","488"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1910","1505","405"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1615","1257","358"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","2016","1581","435"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","1675","1222","453"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","2049","1566","483"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1925","1523","402"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1920","1476","444"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2233","1775","458"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2293","1803","490"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2222","1702","520"
"1","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","0","280","140","140"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2253","1810","443"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","2210","1698","512"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2223","1699","524"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","2030","1578","452"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","12","2132","1636","496"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","11","2021","1543","478"
